"Ref INS","INE","Municipi","Comarca","Instal·lació","Ubicació UTMX","Ubicació UTMY","Latitud","Longitud","Tipus propietat","Tipus gestió","Titularitat","URL CEEC","CAM","ATL","PAL","PCO","POL","PAV","TEN","PAD","SAL","ESQ","FRO","PET","CON","HIP","GOL","CIR","ROC","SIN","URB","NAT","BIC","ITI","VES","GRA","MAG","SER","AER","POR","REF","COM","Georeferència"
"4316340184","431634","Vendrell, el","Baix Penedès","COMUNITAT DEL C. SANT RAMÓN, 24","376295","4560024","41,18212934","1,525053709","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.525053709 41.18212934)"
"4310370006","431037","Perafort","Tarragonès","TENNIS TAULA C. DE COLOM","353825","4561184","41,18883196","1,2569743","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/22201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","POINT (1.2569743 41.18883196)"
"0830540053","083054","Vilafranca del Penedès","Alt Penedès","COMUNITAT DEL C. DE PERE ALEGRET, 5","391938","4578678","41,35235585","1,708210857","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.708210857 41.35235585)"
"0821720086","082172","Sant Joan Despí","Baix Llobregat","CARRIL BICI CARRER FREDERICA MONTSENY","420564","4580840","41,37515994","2,050073918","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/37814","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","POINT (2.050073918 41.37515994)"
"1702090021","170209","Bescanó","Gironès","SECCIÓ D'INSTITUT LA MIQUELA","478155","4645721","41,96317329","2,736379681","Generalitat de Catalunya","Institut d'ensenyament secundari (IES)","Pública educativa","https://equipaments.esport.gencat.cat/ceeree/equipaments/21230","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","POINT (2.736379681 41.96317329)"
"2512530002","251253","Llardecans","Segrià","CAMP DE FUTBOL DE LLARDECANS (FORA DE SERVEI)","294737","4582957","41,3719667","0,545588358","Ajuntament","Ajuntament","Pública directa","No publicada","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (0.545588358 41.3719667)"
"1706430004","170643","Espolla","Alt Empordà","HOTEL CANALETA HERAS","500115","4693283","42,39183776","3,001397198","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (3.001397198 42.39183776)"
"0819760098","081976","Sant Andreu de Llavaneres","Maresme","COMUNITAT DEL C. DE LES  ACÀCIES, 35","457446","4601979","41,56835744","2,489607684","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.489607684 41.56835744)"
"1706220058","170622","Escala, l'","Alt Empordà","CARRIL BICI PG. DEL MAR","511299","4662776","42,11700218","3,136682975","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/24138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","POINT (3.136682975 42.11700218)"
"0827980301","082798","Terrassa","Vallès Occidental","ALTAFIT TERRASSA","419665","4601830","41,56411146","2,036529748","Privat esportiu","Privat esportiu","Privada esportiva","https://equipaments.esport.gencat.cat/ceeree/equipaments/38006","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","POINT (2.036529748 41.56411146)"
"1704860144","170486","Castell-Platja d'Aro","Baix Empordà","COMUNITAT DEL C. DE LA TRAMUNTANA, 64-68","504195","4627415","41,79858536","3,05049455","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (3.05049455 41.79858536)"
"2518320015","251832","Rialp","Pallars Sobirà","COMUNITAT DEL PG. DE LA GENERALITAT, 2","346561","4700628","42,44280081","1,134305687","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.134305687 42.44280081)"
